Country,Date,Weather Condition,Max Temp (°C),Min Temp (°C),Total Precipitation (mm),Max Wind Speed (kph),Agricultural Alerts
Morocco,2025-05-19,Patchy rain nearby,20.3,16.2,0.12,25.2,Low Precipitation (Drought Risk)
Morocco,2025-05-20,Sunny,21.6,15.2,0.0,25.6,Low Precipitation (Drought Risk)
Morocco,2025-05-21,Partly Cloudy ,22.6,16.9,0.0,20.9,Low Precipitation (Drought Risk)
Morocco,2025-05-22,Sunny,21.8,17.4,0.0,20.2,Low Precipitation (Drought Risk)
Morocco,2025-05-23,Sunny,20.4,16.8,0.01,16.9,Low Precipitation (Drought Risk)
Morocco,2025-05-24,Sunny,22.6,17.6,0.0,25.6,Low Precipitation (Drought Risk)
Morocco,2025-05-25,Sunny,21.7,18.3,0.0,16.9,Low Precipitation (Drought Risk)
Ghana,2025-05-19,Patchy rain nearby,29.8,25.1,2.51,31.7,Low Precipitation (Drought Risk)
Ghana,2025-05-20,Moderate rain,29.3,25.2,5.6,27.7,No Significant Risks
Ghana,2025-05-21,Patchy rain nearby,29.8,26.6,0.64,19.4,Low Precipitation (Drought Risk)
Ghana,2025-05-22,Patchy rain nearby,30.2,26.6,2.34,18.4,Low Precipitation (Drought Risk)
Ghana,2025-05-23,Patchy rain nearby,29.4,26.3,0.44,21.6,Low Precipitation (Drought Risk)
Ghana,2025-05-24,Patchy rain nearby,29.8,25.7,1.47,24.1,Low Precipitation (Drought Risk)
Ghana,2025-05-25,Moderate rain,27.8,23.0,13.96,23.4,Heavy Rain (Flooding Risk)
Uganda,2025-05-19,Patchy rain nearby,28.4,18.8,0.65,13.7,Low Precipitation (Drought Risk)
Uganda,2025-05-20,Patchy rain nearby,28.4,19.8,0.72,15.1,Low Precipitation (Drought Risk)
Uganda,2025-05-21,Moderate rain,27.8,18.9,5.49,12.6,No Significant Risks
Uganda,2025-05-22,Patchy rain nearby,27.3,19.0,4.95,14.0,Low Precipitation (Drought Risk)
Uganda,2025-05-23,Patchy rain nearby,25.7,17.9,1.48,14.4,Low Precipitation (Drought Risk)
Uganda,2025-05-24,Patchy rain nearby,25.3,18.1,0.75,17.6,Low Precipitation (Drought Risk)
Uganda,2025-05-25,Partly Cloudy ,26.7,19.2,0.04,16.2,Low Precipitation (Drought Risk)
Ethiopia,2025-05-19,Sunny,23.0,13.9,0.01,10.1,Low Precipitation (Drought Risk)
Ethiopia,2025-05-20,Sunny,23.6,15.2,0.06,11.5,Low Precipitation (Drought Risk)
Ethiopia,2025-05-21,Partly Cloudy ,27.2,16.2,0.02,11.2,Low Precipitation (Drought Risk)
Ethiopia,2025-05-22,Sunny,28.0,15.1,0.0,15.5,Low Precipitation (Drought Risk)
Ethiopia,2025-05-23,Sunny,26.3,14.5,0.0,11.2,Low Precipitation (Drought Risk)
Ethiopia,2025-05-24,Sunny,28.1,13.6,0.0,11.9,Low Precipitation (Drought Risk)
Ethiopia,2025-05-25,Sunny,27.1,12.3,0.0,17.6,Low Precipitation (Drought Risk)
Algeria,2025-05-19,Patchy rain nearby,24.6,20.7,0.13,22.7,Low Precipitation (Drought Risk)
Algeria,2025-05-20,Patchy rain nearby,22.8,18.6,1.18,16.6,Low Precipitation (Drought Risk)
Algeria,2025-05-21,Sunny,23.1,18.3,0.0,17.3,Low Precipitation (Drought Risk)
Algeria,2025-05-22,Partly Cloudy ,25.0,18.9,0.09,13.7,Low Precipitation (Drought Risk)
Algeria,2025-05-23,Patchy rain nearby,20.0,18.2,0.42,34.9,Low Precipitation (Drought Risk)
Algeria,2025-05-24,Patchy rain nearby,19.5,16.9,0.63,34.2,Low Precipitation (Drought Risk)
Algeria,2025-05-25,Patchy rain nearby,20.5,16.4,0.13,18.7,Low Precipitation (Drought Risk)
Kenya,2025-05-19,Patchy rain nearby,22.8,14.0,4.74,13.0,Low Precipitation (Drought Risk)
Kenya,2025-05-20,Patchy rain nearby,23.0,14.0,1.65,14.4,Low Precipitation (Drought Risk)
Kenya,2025-05-21,Patchy rain nearby,22.9,13.9,3.09,11.9,Low Precipitation (Drought Risk)
Kenya,2025-05-22,Patchy rain nearby,22.9,13.9,1.12,12.6,Low Precipitation (Drought Risk)
Kenya,2025-05-23,Patchy rain nearby,20.9,13.9,0.07,11.2,Low Precipitation (Drought Risk)
Kenya,2025-05-24,Patchy rain nearby,22.5,13.8,1.07,10.8,Low Precipitation (Drought Risk)
Kenya,2025-05-25,Patchy rain nearby,21.6,13.9,0.17,10.4,Low Precipitation (Drought Risk)
Nigeria,2025-05-19,Patchy rain nearby,29.4,22.9,0.64,10.4,Low Precipitation (Drought Risk)
Nigeria,2025-05-20,Patchy rain nearby,32.0,22.9,0.4,14.0,Low Precipitation (Drought Risk)
Nigeria,2025-05-21,Moderate rain,30.0,22.8,18.41,15.5,Heavy Rain (Flooding Risk)
Nigeria,2025-05-22,Sunny,34.7,22.9,0.05,9.7,Low Precipitation (Drought Risk)
Nigeria,2025-05-23,Moderate rain,34.0,21.6,6.25,15.1,No Significant Risks
Nigeria,2025-05-24,Patchy rain nearby,27.5,22.2,0.25,11.5,Low Precipitation (Drought Risk)
Nigeria,2025-05-25,Patchy rain nearby,31.4,21.4,0.21,10.8,Low Precipitation (Drought Risk)
Tanzania,2025-05-19,Patchy rain nearby,25.4,17.3,0.2,15.1,Low Precipitation (Drought Risk)
Tanzania,2025-05-20,Partly Cloudy ,27.2,16.7,0.01,16.2,Low Precipitation (Drought Risk)
Tanzania,2025-05-21,Cloudy ,29.3,16.7,0.09,17.3,Low Precipitation (Drought Risk)
Tanzania,2025-05-22,Patchy rain nearby,26.9,17.2,0.19,17.3,Low Precipitation (Drought Risk)
Tanzania,2025-05-23,Partly Cloudy ,26.9,16.2,0.0,13.7,Low Precipitation (Drought Risk)
Tanzania,2025-05-24,Partly Cloudy ,27.2,14.3,0.0,15.5,Low Precipitation (Drought Risk)
Tanzania,2025-05-25,Sunny,27.6,14.4,0.0,17.3,Low Precipitation (Drought Risk)
South Africa,2025-05-19,Sunny,23.7,14.0,0.0,13.7,Low Precipitation (Drought Risk)
South Africa,2025-05-20,Sunny,24.3,14.5,0.0,21.2,Low Precipitation (Drought Risk)
South Africa,2025-05-21,Sunny,18.4,9.7,0.0,27.7,Low Precipitation (Drought Risk)
South Africa,2025-05-22,Sunny,20.2,8.6,0.0,16.6,Low Precipitation (Drought Risk)
South Africa,2025-05-23,Sunny,21.0,9.8,0.0,11.9,Low Precipitation (Drought Risk)
South Africa,2025-05-24,Sunny,20.1,10.5,0.0,9.0,Low Precipitation (Drought Risk)
South Africa,2025-05-25,Sunny,20.8,10.9,0.0,5.0,Low Precipitation (Drought Risk)
Pakistan,2025-05-19,Patchy rain nearby,40.8,29.0,0.23,21.6,Low Precipitation (Drought Risk)
Pakistan,2025-05-20,Sunny,41.1,27.2,0.0,16.6,Low Precipitation (Drought Risk)
Pakistan,2025-05-21,Sunny,42.1,29.0,0.0,16.9,Low Precipitation (Drought Risk)
Pakistan,2025-05-22,Sunny,43.8,29.8,0.04,18.4,Low Precipitation (Drought Risk)
Pakistan,2025-05-23,Sunny,44.6,31.1,0.0,17.6,Low Precipitation (Drought Risk)
Pakistan,2025-05-24,Sunny,43.5,29.8,0.0,22.7,Low Precipitation (Drought Risk)
Pakistan,2025-05-25,Sunny,43.7,29.5,0.0,21.2,Low Precipitation (Drought Risk)
Thailand,2025-05-19,Sunny,35.8,28.6,0.06,19.8,Low Precipitation (Drought Risk)
Thailand,2025-05-20,Patchy rain nearby,35.8,28.9,2.32,20.2,Low Precipitation (Drought Risk)
Thailand,2025-05-21,Patchy rain nearby,34.7,29.4,4.07,19.1,Low Precipitation (Drought Risk)
Thailand,2025-05-22,Patchy rain nearby,37.6,28.8,3.78,19.4,Low Precipitation (Drought Risk)
