Country,latitude,longitude,Year,Maize,Rice,Yams,Wheat,Tomatoes,Tea,Sweet potatoes,Sunflower seed,Sugar cane,Soybeans,Rye,Potatoes,Oranges,"Peas, dry",Palm oil,Grapes,Coffee,Cocoa beans,"Meat, chicken",Bananas,Avocados,Apples,Crops,Fruits and Vegs,Spices,Coffee Tea Cocoa,Livestock,All Categories Total,AvgTemperature,Date,Weather Condition,Max Temp (°C),Min Temp (°C),Total Precipitation (mm),Max Wind Speed (kph),Agricultural Alerts
Uzbekistan,41.0,64.0,2021,590016.0,2116125.2,159413.716,12797144.4,182918.0,8573.4,29.6,879242.2,2109705.26,15211650.0,56359.0,4772327.2,2158843.534,79987.652,158548.2,624387.8,84765.564,810.8,3600.0,1109227.912,11471.0,244798.8,38692012.576000005,4331647.046,238535.852,94149.764,3600.0,43359945.238000005,13.84,2025-05-25,Sunny,32.9,21.0,0.0,10.8,Low Precipitation (Drought Risk)
Pakistan,30.0,70.0,2021,10634831.0,1375959.0,246952.206,2326000.0,343900.0,3650.6,1722.0,276453.84,4576900.0,6680.298,2036086.2,1000.0,450000.0,66842.246,10460418.4,14492401.4,178.242,1898.8,1.6,11479045.0,548570.264,1639435.6,21482584.544,28953352.264,10527260.646,5727.642,1.6,60968926.696,8.147,2025-05-25,Sunny,43.7,29.5,0.0,21.2,Low Precipitation (Drought Risk)
Australia,-27.0,133.0,2021,305655.88,26777904.0,556647.0,1970363.6,55068.13,543776.0,2066.0,56800.0,364555.0,2814321.0,269.0,767261.1,25841.0,9126.0,167358.0,102.0,35937.99,100.0,1191322.0,798012.0,202541.0,317078.0,33615842.58,1398642.13,176484.0,579813.99,1191322.0,36962104.7,18.99,2025-05-25,Cloudy ,17.0,7.5,0.0,15.8,Low Precipitation (Drought Risk)
Thailand,15.0,100.0,2021,5300000.0,54215017.57,230298.664,2133386.0,2300000.0,83290.4,58805.916,423832.8,27937516.0,218421.6,416000.0,190964.0,186852.4,141064.6,214713.98,1279579.12,249828.6,2086.4,416.0,712421.498,266926.338,570164.4,91124242.54999998,5315943.756,355778.58,335205.4,416.0,97131586.28599998,26.96,2025-05-25,Patchy rain nearby,34.9,29.4,0.88,16.2,Low Precipitation (Drought Risk)
Romania,46.0,25.0,2021,14820690.0,830000.0,13163.2,32129760.0,180513.0,145.0,830.0,5839.8,967611.6,37857241.6,137059.6,119834.0,383500.0,140670.0,8115775.4,3049459.6,39616.79,624.042,6314210.0,15.93,17978.0,44671.4,86882029.8,3676137.93,8256445.4,40385.832,6314210.0,105169208.962,10.34,2025-05-25,Patchy rain nearby,13.9,11.4,3.76,15.1,Low Precipitation (Drought Risk)
Ecuador,-2.0,-77.5,2021,1699369.6,1701.29,31136000.0,2754740.0,3642.17,64090.4,70.0,4000.0,4192220.0,12834215.0,4000.0,376000.0,21000.0,92509.37,35000.0,1028372.9,1300.0,292000.0,118350.0,0.0,163323.0,593.0,53002315.89,1216931.07,127509.37,357390.4,118350.0,54822496.73,21.12,2025-05-25,Patchy rain nearby,18.9,9.7,0.96,7.2,Low Precipitation (Drought Risk)
Philippines,13.0,122.0,2021,8300322.0,20722.0,1827.4,111872930.0,2437.0,94696.6,82632950.0,13171.0,1600000.0,756.0,14215792.8,224700.0,1661111.0,504010.0,123800.0,509211.0,7911.0,5054.6,5260.0,1525.0,161127.4,13256.286,218883171.2,2348667.686,627810.0,107662.2,5260.0,221972571.086,26.36,2025-05-25,Patchy rain nearby,34.0,27.6,1.26,13.7,Low Precipitation (Drought Risk)
Peru,-10.0,-76.0,2021,1582135.0,2964828.0,2436589.512,29718000.0,5440.0,1712.8,777093.0,1935924.0,0.0,138019.8,586828.8,3289722.0,145000.0,17517.8,4200.0,7298646.1,9493.8,11820.8,130.0,47500.0,83822.8,760.0,43429140.112,7581168.899999999,21717.8,23027.4,130.0,51055184.21199999,15.91,2025-05-25,Sunny,20.7,16.8,0.0,13.3,Low Precipitation (Drought Risk)
Poland,52.0,20.0,2021,7321910.0,806800.0,504458.0,452089.0,658777.0,109748.0,56129.0,33228.8,4227500.0,1536.2,208680.516,260.0,9513600.0,1143305.96,73595.0,264300.18,516.0,615.6,2000.0,212531.0,153457.498,372671.4,13612591.516,11175337.078,1216900.96,110879.6,2000.0,26117709.154000003,8.664,2025-05-25,Partly Cloudy ,19.5,7.7,0.0,17.3,Low Precipitation (Drought Risk)
Argentina,-34.0,-64.0,2021,60525804.0,477693380.0,200000.0,188681200.0,18967824.0,1653.0,74846.99,3347013.0,18708304.0,319.0,283601.0,52048230.0,25836080.0,44413.0,1760.0,7774352.0,1910646.0,336326.0,2055000.0,180290.0,2040.0,10454135.0,801562697.99,63214721.0,46173.0,2248625.0,2055000.0,869127216.99,15.97,2025-05-25,Sunny,20.7,13.7,0.0,7.2,Low Precipitation (Drought Risk)
